,Date,Close,Bitcoins_in_circulation,BlockSize,TransactionsPerBlock
90,2-Jul-09,0.0,929300.0,0.0,1.0
91,4-Jul-09,0.0,937900.0,0.0,1.0
92,6-Jul-09,0.0,946450.0,0.0,1.0
93,8-Jul-09,0.0,953550.0,0.0,1.0
94,10-Jul-09,0.0,961700.0,0.0,1.0
95,12-Jul-09,0.0,969700.0,0.0,1.0
96,14-Jul-09,0.0,977100.0,0.0,1.0
97,16-Jul-09,0.0,982850.0,0.0,1.0
98,18-Jul-09,0.0,986250.0,0.0,1.0
99,20-Jul-09,0.0,992600.0,0.0,1.0
100,22-Jul-09,0.0,999750.0,0.0,1.0
101,24-Jul-09,0.0,1006800.0,0.0,1.0
102,26-Jul-09,0.0,1010100.0,0.0,1.0
103,28-Jul-09,0.0,1015500.0,0.0,1.0
104,30-Jul-09,0.0,1017800.0,0.0,1.0
105,1-Aug-09,0.0,1019550.0,0.0,1.0
106,3-Aug-09,0.0,1021800.0,0.0,1.0
107,5-Aug-09,0.0,1029250.0,0.0,1.0
108,7-Aug-09,0.0,1037750.0,0.0,1.0
109,9-Aug-09,0.0,1046750.0,0.0,1.0
110,11-Aug-09,0.0,1054200.0,0.0,1.0
111,13-Aug-09,0.0,1061650.0,0.0,1.0
112,15-Aug-09,0.0,1066600.0,0.0,1.0
113,17-Aug-09,0.0,1068700.0,0.0,1.0
114,19-Aug-09,0.0,1069900.0,0.0,1.0
115,21-Aug-09,0.0,1071900.0,0.0,1.0
116,23-Aug-09,0.0,1072900.0,0.0,1.0
117,25-Aug-09,0.0,1076050.0,0.0,1.0
118,27-Aug-09,0.0,1079650.0,0.0,1.0
119,29-Aug-09,0.0,1087000.0,0.0,1.0
120,31-Aug-09,0.0,1096200.0,0.0,1.0
121,2-Sep-09,0.0,1103550.0,0.0,1.0
122,4-Sep-09,0.0,1109700.0,0.0,1.0
123,6-Sep-09,0.0,1116850.0,0.0,1.0
124,8-Sep-09,0.0,1124050.0,0.0,1.0
125,10-Sep-09,0.0,1130000.0,0.0,1.0
126,12-Sep-09,0.0,1136950.0,0.0,1.0
127,14-Sep-09,0.0,1144500.0,0.0,1.0
128,16-Sep-09,0.0,1150200.0,0.0,1.0
129,18-Sep-09,0.0,1158400.0,0.0,1.0
130,20-Sep-09,0.0,1165900.0,0.0,1.0
131,22-Sep-09,0.0,1171300.0,0.0,1.0
132,24-Sep-09,0.0,1176750.0,0.0,1.0
133,26-Sep-09,0.0,1186450.0,0.0,1.0
134,28-Sep-09,0.0,1195300.0,0.0,1.0
135,30-Sep-09,0.0,1203800.0,0.0,1.0
136,2-Oct-09,0.0,1211800.0,0.0,1.0
137,4-Oct-09,0.0,1217750.0,0.0,1.0
138,6-Oct-09,0.0,1222700.0,0.0,1.0
139,8-Oct-09,0.0,1228750.0,0.0,1.0
140,10-Oct-09,0.0,1236500.0,0.0,1.0
141,12-Oct-09,0.0,1243550.0,0.0,1.0
142,14-Oct-09,0.0,1248900.0,0.0,1.0
143,16-Oct-09,0.0,1256400.0,0.0,1.0
144,18-Oct-09,0.0,1262350.0,0.0,1.0
145,20-Oct-09,0.0,1272850.0,0.0,1.0
146,22-Oct-09,0.0,1281300.0,0.0,1.0
147,24-Oct-09,0.0,1289400.0,0.0,1.0
148,26-Oct-09,0.0,1296300.0,0.0,1.0
149,28-Oct-09,0.0,1302800.0,0.0,1.0
150,30-Oct-09,0.0,1308350.0,0.0,1.0
151,1-Nov-09,0.0,1312100.0,0.0,1.0
152,3-Nov-09,0.0,1316600.0,0.0,1.0
153,5-Nov-09,0.0,1322900.0,0.0,1.0
154,7-Nov-09,0.0,1329150.0,0.0,1.0
155,9-Nov-09,0.0,1335900.0,0.0,1.0
156,11-Nov-09,0.0,1342900.0,0.0,1.0
157,13-Nov-09,0.0,1349900.0,0.0,1.0
158,15-Nov-09,0.0,1358850.0,0.0,1.0
159,17-Nov-09,0.0,1368400.0,0.0,1.0
160,19-Nov-09,0.0,1376000.0,0.0,1.0
161,21-Nov-09,0.0,1383950.0,0.0,1.0
162,23-Nov-09,0.0,1393750.0,0.0,1.0
163,25-Nov-09,0.0,1403100.0,0.0,1.0
164,27-Nov-09,0.0,1410750.0,0.0,1.0
165,29-Nov-09,0.0,1417550.0,0.0,1.0
166,1-Dec-09,0.0,1424550.0,0.0,1.0
167,3-Dec-09,0.0,1433700.0,0.0,1.0
168,5-Dec-09,0.0,1438750.0,0.0,1.0
169,7-Dec-09,0.0,1448700.0,0.0,1.0
170,9-Dec-09,0.0,1459350.0,0.0,1.0
171,11-Dec-09,0.0,1470750.0,0.0,1.0
172,13-Dec-09,0.0,1481000.0,0.0,1.0
173,15-Dec-09,0.0,1492200.0,0.0,1.0
174,17-Dec-09,0.0,1506200.0,0.0,1.0
175,19-Dec-09,0.0,1527400.0,0.0,1.0
176,21-Dec-09,0.0,1545500.0,0.0,1.0
177,23-Dec-09,0.0,1561550.0,0.0,1.0
178,25-Dec-09,0.0,1576600.0,0.0,1.0
179,27-Dec-09,0.0,1593000.0,0.0,1.0
180,29-Dec-09,0.0,1608100.0,0.0,1.0
181,31-Dec-09,0.0,1623400.0,0.0,1.0
182,2-Jan-10,0.0,1635850.0,0.0,1.0
183,4-Jan-10,0.0,1653500.0,0.0,1.0
184,6-Jan-10,0.0,1671800.0,0.0,1.0
185,8-Jan-10,0.0,1687250.0,0.0,1.0
186,10-Jan-10,0.0,1704200.0,0.0,1.0
187,12-Jan-10,0.0,1720200.0,0.0,1.0
188,14-Jan-10,0.0,1736000.0,0.0,1.0
189,16-Jan-10,0.0,1749500.0,0.0,1.0
190,18-Jan-10,0.0,1762150.0,0.0,1.0
191,20-Jan-10,0.0,1775100.0,0.0,1.0
192,22-Jan-10,0.0,1791500.0,0.0,1.0
193,24-Jan-10,0.0,1806300.0,0.0,1.0
194,26-Jan-10,0.0,1826550.0,0.0,1.0
195,28-Jan-10,0.0,1844050.0,0.0,1.0
196,30-Jan-10,0.0,1862700.0,0.0,1.0
197,1-Feb-10,0.0,1881950.0,0.0,1.0
198,3-Feb-10,0.0,1901200.0,0.0,1.0
199,5-Feb-10,0.0,1925000.0,0.0,1.0
200,7-Feb-10,0.0,1944900.0,0.0,1.0
201,9-Feb-10,0.0,1965900.0,0.0,1.0
202,11-Feb-10,0.0,1982750.0,0.0,1.0
203,13-Feb-10,0.0,2003300.0,0.0,1.0
204,15-Feb-10,0.0,2022850.0,0.0,1.0
205,17-Feb-10,0.0,2043200.0,0.0,1.0
206,19-Feb-10,0.0,2063600.0,0.0,1.0
207,21-Feb-10,0.0,2085400.0,0.0,1.0
208,23-Feb-10,0.0,2110700.0,0.0,1.0
209,25-Feb-10,0.0,2127600.0,0.0,1.0
210,27-Feb-10,0.0,2144750.0,0.0,1.0
211,1-Mar-10,0.0,2162150.0,0.0,1.0
212,3-Mar-10,0.0,2179350.0,0.0,1.0
213,5-Mar-10,0.0,2197200.0,0.0,1.0
214,7-Mar-10,0.0,2215000.0,0.0,1.0
215,9-Mar-10,0.0,2229200.0,0.0,1.0
216,11-Mar-10,0.0,2243950.0,0.0,1.0
217,13-Mar-10,0.0,2257750.0,0.0,1.0
218,15-Mar-10,0.0,2270200.0,0.0,1.0
219,17-Mar-10,0.0,2283150.0,0.0,1.0
220,19-Mar-10,0.0,2297600.0,0.0,1.0
221,21-Mar-10,0.0,2316300.0,0.0,1.0
222,23-Mar-10,0.0,2335400.0,0.0,1.0
223,25-Mar-10,0.0,2353400.0,0.0,1.0
224,27-Mar-10,0.0,2371850.0,0.0,1.0
225,29-Mar-10,0.0,2391150.0,0.0,1.0
226,31-Mar-10,0.0,2412050.0,0.0,1.0
227,2-Apr-10,0.0,2428900.0,0.0,1.0
228,4-Apr-10,0.0,2445500.0,0.0,1.0
229,6-Apr-10,0.0,2461050.0,0.0,1.0
230,8-Apr-10,0.0,2480450.0,0.0,1.0
231,10-Apr-10,0.0,2501300.0,0.0,1.0
232,12-Apr-10,0.0,2524100.0,0.0,1.0
233,14-Apr-10,0.0,2542350.0,0.0,10.0
234,16-Apr-10,0.0,2562750.0,0.0,1.0
235,18-Apr-10,0.0,2586500.0,0.0,1.0
236,20-Apr-10,0.0,2607600.0,0.0,1.0
237,22-Apr-10,0.0,2627500.0,0.0,1.0
238,24-Apr-10,0.0,2642350.0,0.0,1.0
239,26-Apr-10,0.0,2659300.0,0.0,1.0
240,28-Apr-10,0.0,2676550.0,0.0,1.0
241,30-Apr-10,0.0,2692150.0,0.0,1.0
242,2-May-10,0.0,2708800.0,0.0,1.0
243,4-May-10,0.0,2723300.0,0.0,1.0
244,6-May-10,0.0,2738150.0,0.0,1.0
245,8-May-10,0.0,2752100.0,0.0,1.0
246,10-May-10,0.0,2766050.0,0.0,1.0
247,12-May-10,0.0,2777850.0,0.0,1.0
248,14-May-10,0.0,2790350.0,0.0,1.0
249,16-May-10,0.0,2800450.0,0.0,1.0
250,18-May-10,0.0,2816050.0,0.0,1.0
251,20-May-10,0.0,2833300.0,0.0,1.0
252,22-May-10,0.0,2852150.0,0.0,1.0
253,24-May-10,0.0,2872400.0,0.0,1.0
254,26-May-10,0.0,2893750.0,0.0,1.0
255,28-May-10,0.0,2914450.0,0.0,1.0
256,30-May-10,0.0,2931850.0,0.0,1.0
257,1-Jun-10,0.0,2946100.0,0.0,1.0
258,3-Jun-10,0.0,2960600.0,0.0,1.0
259,5-Jun-10,0.0,2974200.0,0.0,1.0
260,7-Jun-10,0.0,2989550.0,0.0,1.0
261,9-Jun-10,0.0,3005550.0,0.0,1.0
262,11-Jun-10,0.0,3022300.0,0.0,1.0
263,13-Jun-10,0.0,3037200.0,0.0,1.0
264,15-Jun-10,0.0,3054600.0,0.0,1.0
265,17-Jun-10,0.0,3069100.0,0.0,1.0
266,19-Jun-10,0.0,3084400.0,0.0,1.0
267,21-Jun-10,0.0,3101150.0,0.0,1.0
268,23-Jun-10,0.0,3117600.0,0.0,1.0
269,25-Jun-10,0.0,3134300.0,0.0,1.0
270,27-Jun-10,0.0,3150400.0,0.0,1.0
271,29-Jun-10,0.0,3166600.0,0.0,1.0
272,1-Jul-10,0.0,3186200.0,0.0,1.0
273,3-Jul-10,0.0,3204950.0,0.0,1.0
274,5-Jul-10,0.0,3223050.0,0.0,1.0
275,7-Jul-10,0.0,3239150.0,0.0,3.0
276,9-Jul-10,0.0,3256500.0,0.0,9.0
277,11-Jul-10,0.0,3275100.0,0.0,2.0
278,13-Jul-10,0.0,3337950.0,0.0,2.0
279,15-Jul-10,0.0,3397850.0,1.0,3.0
280,17-Jul-10,0.0,3436900.0,1.0,2.0
281,19-Jul-10,0.0,3454050.0,1.0,2.0
282,21-Jul-10,0.0,3473050.0,1.0,1.0
283,23-Jul-10,0.0,3492100.0,1.0,2.0
284,25-Jul-10,0.0,3512050.0,1.0,1.0
285,27-Jul-10,0.0,3533800.0,1.0,1.0
286,29-Jul-10,0.0,3550650.0,1.0,2.0
287,31-Jul-10,0.0,3569200.0,1.0,2.0
288,2-Aug-10,0.0,3592950.0,1.0,2.0
289,4-Aug-10,0.0,3615750.0,1.0,2.0
290,6-Aug-10,0.0,3636000.0,1.0,1.0
291,8-Aug-10,0.0,3652700.0,1.0,2.0
292,10-Aug-10,0.0,3672500.0,1.0,1.0
293,12-Aug-10,0.0,3694250.0,1.0,2.0
294,14-Aug-10,0.0,3718150.0,1.0,2.0
295,16-Aug-10,0.0,3737700.0,1.0,1.0
296,18-Aug-10,0.07,3750900.0,1.0,1.0
297,20-Aug-10,0.07,3766250.0,1.0,1.0
298,22-Aug-10,0.07,3785400.0,1.0,1.0
299,24-Aug-10,0.07,3806500.0,1.0,1.0
300,26-Aug-10,0.07,3828250.0,1.0,2.0
301,28-Aug-10,0.07,3846100.0,1.0,2.0
302,30-Aug-10,0.07,3861450.0,1.0,1.0
303,1-Sep-10,0.06,3879000.0,1.0,1.0
304,3-Sep-10,0.06,3894550.0,1.0,1.0
305,5-Sep-10,0.06,3911600.0,1.0,2.0
306,7-Sep-10,0.06,3927600.0,1.0,1.0
307,9-Sep-10,0.06,3942750.0,1.0,2.0
308,11-Sep-10,0.06,3959400.0,1.0,2.0
309,13-Sep-10,0.06,3976750.0,1.0,1.0
310,15-Sep-10,0.18,3995900.0,1.0,2.0
311,17-Sep-10,0.06,4016200.0,1.0,4.0
312,19-Sep-10,0.06,4038550.0,1.0,2.0
313,21-Sep-10,0.06,4057950.0,1.0,2.0
314,23-Sep-10,0.06,4077200.0,1.0,2.0
315,25-Sep-10,0.06,4099600.0,1.0,2.0
316,27-Sep-10,0.06,4121350.0,1.0,4.0
317,29-Sep-10,0.06,4141000.0,1.0,2.0
318,1-Oct-10,0.06,4155850.0,1.0,2.0
319,3-Oct-10,0.06,4167350.0,1.0,2.0
320,5-Oct-10,0.06,4181200.0,1.0,2.0
321,7-Oct-10,0.06,4197450.0,1.0,2.0
322,9-Oct-10,0.12,4212850.0,1.0,1.0
323,11-Oct-10,0.13,4229700.0,1.0,1.0
324,13-Oct-10,0.1,4246150.0,1.0,1.0
325,15-Oct-10,0.12,4265000.0,1.0,2.0
326,17-Oct-10,0.1,4291050.0,1.0,3.0
327,19-Oct-10,0.1,4316250.0,1.0,2.0
328,21-Oct-10,0.11,4339600.0,1.0,2.0
329,23-Oct-10,0.11,4355950.0,1.0,2.0
330,25-Oct-10,0.15,4375900.0,1.0,1.0
331,27-Oct-10,0.19,4398600.0,1.0,1.0
332,29-Oct-10,0.19,4421100.0,1.0,1.0
333,31-Oct-10,0.2,4442200.0,1.0,1.0
334,2-Nov-10,0.2,4460000.0,1.0,1.0
335,4-Nov-10,0.24,4479600.0,1.0,1.0
336,6-Nov-10,0.29,4500650.0,1.0,1.0
337,8-Nov-10,0.37,4526100.0,1.0,1.0
338,10-Nov-10,0.27,4547750.0,1.0,8.0
339,12-Nov-10,0.25,4567900.0,1.0,1.0
340,14-Nov-10,0.3,4590750.0,1.0,46.0
341,16-Nov-10,0.28,4610850.0,4.0,76.0
342,18-Nov-10,0.29,4636500.0,4.0,2.0
343,20-Nov-10,0.29,4650550.0,7.0,38.0
344,22-Nov-10,0.28,4665300.0,9.0,2.0
345,24-Nov-10,0.28,4681750.0,9.0,2.0
346,26-Nov-10,0.29,4699500.0,10.0,2.0
347,28-Nov-10,0.28,4716950.0,10.0,2.0
348,30-Nov-10,0.28,4738050.0,10.0,1.0
349,2-Dec-10,0.25,4756550.0,10.0,2.0
350,4-Dec-10,0.26,4777100.0,10.0,2.0
351,6-Dec-10,0.23,4801000.0,10.0,2.0
352,8-Dec-10,0.25,4824200.0,10.0,4.0
353,10-Dec-10,0.2,4844200.0,10.0,3.0
354,12-Dec-10,0.23,4861500.0,10.0,2.0
355,14-Dec-10,0.23,4877250.0,10.0,2.0
356,16-Dec-10,0.25,4895500.0,10.0,3.0
357,18-Dec-10,0.25,4912050.0,10.0,3.0
358,20-Dec-10,0.28,4929200.0,10.0,3.0
359,22-Dec-10,0.27,4946950.0,10.0,3.0
360,24-Dec-10,0.25,4961600.0,10.0,3.0
361,26-Dec-10,0.27,4977050.0,10.0,3.0
362,28-Dec-10,0.28,4993550.0,10.0,3.0
363,30-Dec-10,0.3,5010150.0,10.0,8.0
364,1-Jan-11,0.3,5027250.0,10.0,5.0
365,3-Jan-11,0.3,5044450.0,10.0,7.0
366,5-Jan-11,0.3,5059050.0,10.0,8.0
367,7-Jan-11,0.32,5073600.0,10.0,7.0
368,9-Jan-11,0.32,5090800.0,10.0,7.0
369,11-Jan-11,0.33,5107250.0,10.0,5.0
370,13-Jan-11,0.41,5124850.0,10.0,5.0
371,15-Jan-11,0.4,5142150.0,10.0,5.0
372,17-Jan-11,0.4,5159450.0,10.0,8.0
373,19-Jan-11,0.34,5176100.0,10.0,7.0
